user_pseudo_id,event_name,event_timestamp,device_category,traffic_source,experiment_variant,session_duration,converted,is_new_user
bot_0071,session_start,2026-03-23T00:00:00,desktop,direct,variant_b,0,0,0
bot_0035,session_start,2026-03-13T00:00:00,desktop,direct,variant_b,0,0,0
user_001643,click,2026-03-01T02:49:10,desktop,direct,variant_b,538,0,0
user_000211,page_view,2026-03-18T05:33:07,tablet,direct,variant_b,499,0,1
user_000229,session_start,2026-03-25T03:30:48,desktop,organic,variant_b,97,0,0
user_004383,scroll,2026-03-19T00:00:40,tablet,direct,variant_b,158,0,1
user_005715,scroll,2026-03-06T05:38:02,mobile,social,variant_b,274,0,1
user_006489,session_start,2026-03-23T04:42:03,mobile,direct,variant_b,394,0,1
user_001466,add_to_cart,2026-03-01T11:24:25,tablet,cpc,control,537,0,0
bot_0047,session_start,2026-03-19T00:00:00,desktop,direct,variant_b,0,0,0
user_005743,scroll,2026-03-28T13:54:13,desktop,organic,variant_b,496,0,0
user_004695,scroll,2026-03-18T21:28:43,mobile,cpc,variant_b,581,0,1
user_007682,click,2026-03-06T02:46:36,mobile,direct,control,587,0,0
bot_0177,session_start,2026-03-16T00:00:00,desktop,direct,control,0,0,0
user_003390,click,2026-03-24T14:34:57,tablet,direct,control,344,0,0
user_005885,session_start,2026-03-15T19:16:43,desktop,organic,variant_b,35,0,1
user_004721,page_view,2026-03-15T09:54:02,desktop,email,variant_b,78,0,0
bot_0144,session_start,2026-03-03T00:00:00,desktop,direct,variant_b,0,0,0
user_007981,click,2026-03-04T20:48:41,desktop,direct,variant_b,100,0,0
user_005435,click,2026-03-21T11:39:02,mobile,direct,variant_b,179,0,0
user_007858,add_to_cart,2026-03-09T01:36:00,tablet,organic,control,272,0,1
user_001913,click,2026-03-28T01:27:36,mobile,social,variant_b,326,0,1
user_000306,page_view,2026-03-19T19:40:31,tablet,direct,control,530,0,0
user_004438,page_view,2026-03-25T14:50:06,tablet,cpc,control,458,0,1
bot_0128,session_start,2026-03-01T00:00:00,desktop,direct,control,0,0,0
user_004247,page_view,2026-03-28T20:49:10,desktop,direct,variant_b,324,0,0
user_005892,click,2026-03-19T12:31:06,desktop,social,control,400,0,0
user_002617,scroll,2026-03-24T18:53:52,mobile,social,variant_b,267,0,0
user_002956,add_to_cart,2026-03-26T21:06:52,desktop,direct,control,240,1,1
user_006860,add_to_cart,2026-03-26T20:22:31,mobile,organic,control,520,0,0
user_007945,click,2026-03-20T17:44:48,mobile,email,variant_b,255,0,1
srm_user_0308,session_start,2026-03-02T11:08:51,tablet,direct,variant_b,37,0,1
bot_0137,session_start,2026-03-13T00:00:00,desktop,direct,variant_b,0,0,0
user_004858,click,2026-03-03T23:55:16,desktop,organic,control,112,0,1
user_007569,scroll,2026-03-05T08:44:01,mobile,cpc,variant_b,288,0,0
user_000289,scroll,2026-03-26T01:29:07,desktop,social,variant_b,167,0,0
bot_0038,session_start,2026-03-15T00:00:00,desktop,direct,variant_b,0,0,0
user_004290,add_to_cart,2026-03-09T15:20:27,mobile,social,control,63,0,1
user_001283,click,2026-03-03T10:09:09,mobile,organic,variant_b,93,0,0
bot_0040,session_start,2026-03-25T00:00:00,desktop,direct,control,0,0,0
user_004534,scroll,2026-03-01T10:19:56,tablet,cpc,control,545,0,0
user_003463,add_to_cart,2026-03-17T08:41:12,tablet,organic,variant_b,431,0,0
user_007638,click,2026-03-23T02:04:42,tablet,cpc,control,228,0,0
bot_0067,session_start,2026-03-14T00:00:00,desktop,direct,control,0,0,0
user_005441,session_start,2026-03-16T07:34:40,mobile,email,variant_b,162,0,0
user_002884,scroll,2026-03-17T02:57:41,desktop,cpc,control,234,0,1
user_002658,session_start,2026-03-03T00:10:58,tablet,direct,control,405,0,1
user_005702,click,2026-03-14T21:03:38,mobile,organic,control,496,0,0
user_001920,click,2026-03-21T09:03:30,desktop,organic,control,451,0,1
user_004667,scroll,2026-03-10T15:40:27,mobile,cpc,variant_b,308,0,0
user_003590,session_start,2026-03-07T00:11:33,tablet,cpc,control,244,0,0
user_001165,scroll,2026-03-02T19:51:56,mobile,cpc,variant_b,354,0,0
bot_0143,session_start,2026-03-16T00:00:00,desktop,direct,variant_b,0,0,0
user_003745,page_view,2026-03-27T21:09:41,tablet,email,variant_b,218,0,0
user_000244,add_to_cart,2026-03-25T16:31:17,tablet,organic,control,44,0,0
user_002798,page_view,2026-03-09T15:43:13,tablet,social,control,125,0,1
user_007957,scroll,2026-03-01T00:44:39,tablet,direct,variant_b,456,0,1
